CS208, 15-03-2026 19:54:40, 0.0
CS208, 15-03-2026 19:54:52, 0.0
CS208, 15-03-2026 19:55:21, 0.0
CS208, 15-03-2026 20:03:31, 0.0
CS208, 15-03-2026 20:06:48, 0.0
CS208, 15-03-2026 20:15:23, 0.0
CS208, 15-03-2026 20:18:17, 0.0
CS208, 15-03-2026 20:24:56, 0.0
CS208, 15-03-2026 20:25:34, 0.0
CS208, 15-03-2026 20:26:39, 0.0
CS208, 15-03-2026 20:36:48, 0.0
CS208, 15-03-2026 20:37:09, 0.0
CS208, 15-03-2026 20:38:37, 0.0
CS208, 15-03-2026 20:39:12, 25.0
CS208, 15-03-2026 20:39:55, 25.0
CS208, 15-03-2026 20:42:06, 25.0
CS208, 15-03-2026 20:49:40, 0.0
CS208, 15-03-2026 20:50:30, 0.0
CS208, 15-03-2026 20:51:22, 17.0
CS208, 15-03-2026 20:51:57, 40.0
CS208, 15-03-2026 20:53:00, 40.0
CS208, 16-03-2026 17:25:23, 40.0
CS208, 16-03-2026 21:23:53, 40.0
CS208, 16-03-2026 21:24:42, 40.0
CS208, 16-03-2026 21:25:03, 40.0
CS208, 16-03-2026 21:25:19, 40.0
CS208, 16-03-2026 21:52:47, 40.0
CS208, 16-03-2026 21:55:15, 40.0
CS208, 16-03-2026 22:00:32, 40.0
CS208, 16-03-2026 22:01:17, 40.0
CS208, 16-03-2026 22:01:32, 40.0
CS208, 16-03-2026 22:04:00, 40.0
CS208, 16-03-2026 22:05:20, 40.0
CS208, 16-03-2026 22:05:54, 40.0
CS208, 16-03-2026 22:07:27, 90.0
CS208, 16-03-2026 22:08:04, 90.0
CS208, 16-03-2026 22:08:14, 90.0
CS208, 16-03-2026 22:09:37, 90.0
CS208, 16-03-2026 22:10:12, 90.0
CS208, 16-03-2026 22:14:23, 90.0
CS208, 16-03-2026 22:14:42, 90.0
CS208, 16-03-2026 22:14:56, 90.0
CS208, 16-03-2026 22:18:48, 90.0
CS208, 16-03-2026 22:23:23, 0.0
CS208, 16-03-2026 22:23:38, 97.0
CS208, 16-03-2026 22:25:44, 90.0
CS208, 16-03-2026 22:28:30, 90.0
